Jawaban_Mahasiswa,Kode_Jawaban_Dosen,Nilai_Human_Rated,Nilai_Huruf
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,77,B
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,60,B
"Komputer adalah serangkaian ataupun sekelompok mesin elektronik yang terdiri dari ribuan bahkan jutaan komponen yang dapat saling bekerja sama, serta membentuk sebuah sistem kerja yang rapi dan teliti. Sistem ini kemudian dapat digunakan untuk melaksanakan serangkaian pekerjaan secara otomatis, berdasar urutan instruksi ataupun program yang diberikan kepadanya. ",te_1,60,B
komputer merupakan alat untuk mengolah data. melakukan perhitungan aritmatika dan melakukan segala pekerjaan yang dapat memudahkan manusia ,te_1,43,C
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,41,C
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,40,C
mesin yang membantu manusia untuk menjalankan segara pekerjaan ,te_1,25,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,25,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,29,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,29,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata komputer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri ",te_1,39,D
alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan ,te_1,25,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,31,D
alat bantu untuk mempermudah pekerjaan manusia ,te_1,28,D
komputer adalah alat untuk mempermudah manusia dalam melakukan aktivitas shari hari ,te_1,28,D
Komputer adalah sebuah perangkat yang saat ini digunakan untuk berbagai keperluan. Fungsi komputer sendiri banyak namun pada dasarnya komputer digunakan sebagai alat berhitung dan mengolah informasi. Komputer bisa menerima inputan dari perangkat inputan seperti keyboard dan mouse kemudian mengeluarkan hasil melalui perangkat output seperti printer dan juga monitor ,te_1,28,D
serangkaian atau sekelompok mesin elektronik yang terdiri dari ratusan komponen yang saling bekerja sama ,te_1,32,D
alat yang membantu manusia untuk mengerjakan pekerjaan ,te_1,25,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,30,D
"Komputer adalah alat yang dapat digunakan untuk mengolah suatu data menurut prosedur yang telah dirumuskan dalam komputer itu sendiri. komputer juga dapat digunakan untuk membantu perhitungan aritmetika, serta untuk pengolahan suatu informasi. ",te_1,32,D
komputer adalah alat pengolah data menurut prosedur yang telah di rumuskan ,te_1,25,D
"komputer adalah alat elektronik yang memiliki komputasi yang sangat tinggi dengan spesifikasi seperti menggunakan windows 10 untuk kerjaan kantor, bermain game, menonton film. ",te_1,22,D
"Komputer adalah alat bantu hitung manusia, yang sekarang sudah dikembangkan dapat membantu banyak tugas manusia. ",te_1,30,D
"alat elektronik yang dapat menghitung dan menganalisa data secara cepat dan cermat, dapat juga menjalankan aplikasi multimedia. ",te_1,21,D
"adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. Asal mulanya, pengolahan informasi hampir eksklusif berhubungan dengan masalah aritmetika, tetapi komputer modern dipakai untuk banyak tugas yang tidak berhubungan dengan matematika. ",te_1,39,D
"pada awal komputer adalah mesin hitung untuk memudahkan pekerjaan manusia. saat ini komputer dapat digunakan untuk hal lain seperti bermain game, bekerja, mendengarkan musik dll. ",te_1,26,D
Komputer adalah mesin hitung. komputer digunakan untuk mengolah data dengan menggunakn mesin. Komputer saat ini sudah berkembang secara pesat. ,te_1,21,D
alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan dimana komputer itu sendiri merupakan perangkat elektronik yang terdiri dari beberapa komponen yang saling bekerja sama membentuk sebuah sistem kerja yang dapat menjalankan pekerjaan secara otomatis berdasar urutan instruksi ataupun program yang diberikan kepadanya sehingga dapat menghasilkan suatu informasi berdasarkan program dan data yang ada. ,te_1,29,D
Secara umum komputer adalah sekumpulan alat elektronik dimana satu dengan yang lainnya saling bekerja sama terkoordinasi dibawah kontrol program dengan kemampuan dapat menerima data dan mengolah data. ,te_1,28,D
"Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,29,D
Komputer adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan ,te_1,27,D
"adalah alat yang dipakai untuk mengolah data menurut prosedur yang telah dirumuskan. Kata computer pada awalnya dipergunakan untuk menggambarkan orang yang perkerjaannya melakukan perhitungan aritmatika, dengan atau tanpa alat bantu, tetapi arti kata ini kemudian dipindahkan kepada mesin itu sendiri. ",te_1,28,D
"komputer adalah sebuah mesin yang berfungsi untuk mempermudah pekerjaan manusia yang berawal dari mesin ketik biasa, komputer menggunakan bahasa mesin. ",te_1,25,D
komputer adalah mesin penghitung ,te_1,12,E
"Komputer adalah alat komputasi yang diciptakan untuk menghitung tambah, kurang, kali, bagi. ",te_1,11,E
alat untuk memudahkan masnusia ,te_1,11,E
komputer adalah barang elektronik pintar yang semakin tahun dikembangkan dengan menambahkan banyak fitur dan komponen tambahan yang kemudian disatu padukan menjadi bentuk. ,te_1,19,E
Apa yang dimaksud dengan komputer? (Jawab dalam 1-3 kalimat) ,te_1,6,E
suatu mesin yang bisa mengerti saya ,te_1,5,E
alat yang dipakai untuk mengelola data ,te_1,11,E
"menerima, mengolah dan memberikan informasi ",te_1,7,E
tempat menerima dan mengolah data ,te_1,6,E
"Komputer adalah sebuah alat yang digunakan untuk manipulasi data, komputer berisi hardware, software, dan brainware. ",te_1,12,E
mesin pegolah kata ,te_1,6,E
"Memperluas Pangsa Pasar, Mengurangi biaya produksi dan operasional, Mempermudah proses komunikasi dan monitoring setiap karyawan, Munculnya peluang bisnis baru yakni E-Business ",te_2,47,C
Berikut ini adalah keuntungan dari teknologi Informasi dan komunikasi : 1. Membantu mempercepat pekerjaan manusia 2. Mempermudah komunikasi jarak jauh. 3. Mempermudah sistem administrasi 4. Mempermudah proses transaksi keuangan ,te_2,44,C
"-Dengan adanya Teknologi, kita dapat memanfaatkannya untuk promosi produk kepada konsumen -kita dapat mengembangkan produk yang kita buat Dengan mudah Dengan bantuan informasi yang terbaru -kita dapat menciptakan sesuatu yang baru dan unik untuk produk yang kita buat Dengan memanfaatkan Teknologi yang sedang berkembang saat ini",te_2,40,C
"Menghemat waktu karena pesan lebih cepat diterima oleh penerima pengirim tidak perlu menunggu lama agar pesannya dibaca oleh penerima, Menghemat tenaga dan biaya karena pengirim tidak perlu datang ke kantor pos untuk mengirim surat, Menghemat biaya karena dengan internet messenger dapat melakukan komunikasi jarak jauh, Dapat bertatapan langsung dengan lawan bicara jika komputernya dilengkapi dengan webcam, yaitu alat yang berupa kamera, Memudahkan pencarian dokumen, karena dokumen tersimpan dengan rapi dan lebih aman jika dibandingkan dengan penyimpanan secara manual. ",te_2,43,C
"- Teknologi informasi dapat digunakan untuk mengontrol jumlah barang yang dihasilkan dan jumlah barang yang keluar, sehingga ddata yang ada dapat lebih mudah diakses dan teliti. - Kegiatan pemasaran yang memanfaatkan Teknologi informasi seperti promosi produk via internet, penjualan barang secara online, dan penyedia jasacustomer serviceonline. - Dalam bidang manajemen karyawan, Teknologi informasi mempermudah manajer untuk mencari informasi tentang karyawannya.",te_2,28,D
"bisnis menjadi lebih efisien, efektif, jangkauan pemasaran lebih luas, peluang lebih besar ",te_2,27,D
"mempersingkat waktu,memperoleh koneksi bisnis dengan cepat.. mempromosikan produk dengan cepat ",te_2,26,D
1. Mempersingkat waktu. 2. Memudahkan dalam transaksi. 3. Memudahkan dalam melihat barang belanjaan. ,te_2,27,D
"Semakin maraknya penggunaan TIK akan semakin membuka lapangan pekerjaan,Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi bisnis suatu perusahaan atau peroranga, Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah kegiatan promosi dan pemasaran suatu produk. ",te_2,26,D
"dapat memudahkan proses perencanaan, distribusi, dan produksi dalam kegiatan bisnis ",te_2,24,D
Penerapan Teknologi Informasi Dunia Bisnis .Teknologi Informasi dimanfaatkan untuk perdagangan secara elektronik atau dikenal sebagai E-Commerce. E-Commerce adalah perdagangan menggunakan jaringan internet. ,te_2,23,D
-Semakin maraknya penggunaan TIK akan Semakin membuka lapangan pekerjaan. -Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi Bisnis suatu perusahaan atau perorangan -Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah Kegiatan promosi dan pemasaran suatu produk.,te_2,27,D
"1. Semakin maraknya penggunaan TIK akan semakin membuka lapangan pekerjaan. 2, Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi bisnis suatu perusahaan atau perorangan 3. Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah kegiatan promosi dan pemasaran suatu produk. ",te_2,29,D
"mempercepat kinerja bisnis, membuat pekerjaan bisnis jadi lebih mudah, mempermudah memonitoring karyawan. ",te_2,25,D
1. untuk pengembang bisnis 2. untuk memperluas bisnis 3. untuk mengenalkan bisnis kita ,te_2,22,D
"untuk memudahkan pemasaran , memudahkan pengolahan data , sarana yang mudah bagi masyarakat ",te_2,30,D
"mempermudah koneksi antar perusahaan, menambah penghasilan secara cepat ",te_2,28,D
-lebih efisien -lebih hemat -lebih aman,te_2,27,D
"mempermudah transaksi bisnis, mempermudah kegiatan promosi, mempermudah proses pendidikan ",te_2,24,D
- Sebagai media pemasaran / transaksi - Sebagai media komunikasi - Sebagai media promosi,te_2,27,D
-mempermudah Dalam menjalankan Bisnis -memberikan layanan yang real time -praktis -mudah -cepat -efektif dan efisen -aman,te_2,26,D
"bisnis dapat menjadi lebih terstruktur, lebih mudah pengelolaannya, dan kita dapat memantau traffic bisnis yang sedang berjalan sehingga dapat meningkatkan produksi barang dan keuntungan perusahaan. ",te_2,26,D
"Pemasaran semakin luas dan mudah, Pengelolaan data atau uang menjadi lebih mudah dan tidak ada kacau. ",te_2,27,D
-mempermudah Dalam bidang pemasaran. -mempermudah Dalam bidang pembayaran. -mempermudah Dalam mereview produk.,te_2,24,D
- mendapat keuntungan - memudahkan transaksi - memudahkan mengirim uang,te_2,27,D
- cepat - efektif - efisien - praktis - mudah,te_2,23,D
-mempermudah proses transaksi Bisnis -memperluas jangkauan pasar -memudahkan dokumentasi berkas,te_2,24,D
-Kemajuan Teknologi komunikasi yang cepat dapat mempermudah komunikasi antara suatu tempat dan tempat yang lain. -Semakin maraknya penggunaan TIK akan Semakin membuka lapangan pekerjaan. -Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi Bisnis suatu perusahaan atau perorangan -Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah Kegiatan promosi dan pemasaran suatu produk.,te_2,39,D
"- Membantu mempercepat pekerjaan manusia. Dengan menggunakan teknologi informasi dan komunikasi, pekerjaan manusia akan menjadi lebih cepat dan mudah. Misalnya, proses pembuatan proposal yaysan sosial, apabila menggunakan mesin ketik, maka diperlukan wakt",te_2,24,D
-Semakin maraknya penggunaan TIK akan Semakin membuka lapangan pekerjaan. -Bisnis yang berbasis TIK atau yang biasa disebut e-commerce dapat mempermudah transaksi-traansaksi Bisnis suatu perusahaan atau perorangan -Dengan fasilitas pemasangan iklan di internet pada situs-situs tertentu akan mempermudah Kegiatan promosi dan pemasaran suatu produk.,te_2,25,D
- komunikasi yang cepat - Teknologi Sebagai media promosi - Kecepatan bertransaksi - jangkauan pasar yang luas,te_2,29,D
- Munculnya peluang Bisnis baru yakni e-Business. - memperluas Pangsa Pasar. - Mengurangi biaya produksi dan operasional.,te_2,30,D
memperbanyak keuntungan. mempermudah pekerjaan. biaya rendah ,te_2,23,D
"tidak ada jarak tempat aantara penjual dan pembeli, tidak ada jarak tempat aantara penjual dan pembeli, ",te_2,28,D
untuk memudahkan kehidupan ,te_2,6,E
Dapat menyimpan file-file yang penting ,te_2,13,E
"praktis, memudahkan ",te_2,10,E
kecepatan transaksi. kenyamanan pelanggan. ketepatan transaksi. ,te_2,19,E
bisnis dapat terstruktur dengan lebih baik lebih mudah mengelolanya ,te_2,19,E
mempermudah dalam transaksi jual beli ,te_2,19,E
"mempermudah dalam pengolahan data-data yang ada dalam dunia bisnis, ",te_2,12,E
- jaringan Bisnis turun menurun - jika Bisnis lancar uang juga lancar - client lebih suka pembisnis yg profesional,te_2,13,E