Answer_ID,Jawaban_Mahasiswa,Kode_Jawaban_Dosen,Nilai_Human_Rated
601,"komputer adalah alat yang sudah sangat kompleks, secara umum komputer bekerja dengan dalam tiga tahap yaitu input, prosess dan output. Dimasa ini, komputer sangat beragam fungsi dan bentuknya, termasuk game console.",te_1,80
602,"Komputer adalah perangkat yang menerima data mentah, kemudian di olah dan hasilnya berupa informasi yang bervariasi, seperti teks, gambar dan lainnya",te_1,83
603,"secara bahasa, computer berasal dari kata compute (computare dalam yunani) yang berarti menghitung
 jadi, komputer adalah perangkat yang mampu melakukan komputasi
 
 komputer adalah perangkat yang terdiri dari banyak komponen dan saling terhubung sehingga dapat melakukan komputasi sistematis dengan sendirinya",te_1,90
604,Komputer adalah mesin atau perangkat elektronik yang didesain untuk menyimpan dan memproses data informasi.,te_1,82
605,"Komputer adalah perangkat elektronik yang menerima, menyimpan dan memproses data menjadi informasi secara matematis atau logis sesuai dengan serangkaian instruksi yang diprogram.",te_1,95
606,"komputer merupakan hardware yang mampu menerima (input), memproses, menyimpan dan menmberikan (output) informasi dari serangkaian perintak yang diberikan.",te_1,90
607,"Komputer adalah sebuah perangkat elektronik yang dirancang untuk menerima, menyimpan, memproses, dan menghasilkan data atau informasi. Komputer dapat melakukan berbagai jenis tugas sesuai dengan perintah yang diberikan. Komputer terdiri dari berbagai komponen, seperti CPU, keyboard, mouse, monitor, dan lainnya.",te_1,90
608,"komputer adalah sebuah kelompok perangkat keras yang terdiri dari input, output, pengelola input serta pengelola output yang saling bekerja sama untuk melakukan perintah yang diminta oleh user.",te_1,80
609,"Komputer adalah suatu perangkat elektronik yang digunakan untuk mengolah data. Komputer terdiri dari beberapa operasi yaitu input, output, proses, dan penyimpanan",te_1,78
610,Sebuah alat yang mengolah input dan peralatan output yang memberikan informasi serta bekerja secara otomatis,te_1,72
611,komputer adalah alat elektronik yang dapat membantu manusia dalam mempermudah urusannya dalam pengelolaan informasi dan data,te_1,72
612,"komputer merupakan sebuah alat yang dapat menerima, mengolah, dan menghasilkan data menjadi informasi",te_1,78
613,"komputer adalah sebuah perangkat yang dapat memanipulasi informasi dan dapat menyimpan, mengambil atau memproses sebuah data",te_1,78
614,komputer merupakan perangkat elektronik yang digunakan untuk membantu pekerjaan,te_1,67
615,komputer adalah suatu alat elektronik yang dapat menerima dan memproses data,te_1,73
616,"Komputer adalah perangkat elektronik yang dapat menerima, mengolah, dan menyimpan data.",te_1,78
617,sebuah perangkat keras yang dapat memudahkan kita untuk mengerjakan segala kebutuhan di dunia nyata,te_1,65
618,"Sebuah alat yang bisa digunakan untuk memasukan input perintah, mengolah perintah tersebut dan akan menampilkan output untuk mengambil kesimpulan",te_1,73
619,"Suatu perangkat keras yang berfungsi untuk menerima dan mengolah data agar menjadi informasi. Data tersebut berupa gambar, informasi, suara, dsb.",te_1,77
620,"* Meningkatkan efisiensi waktu dalam mengolah data.
 * Mendapatkan hasil yang lebih akurat 
 * Meminimalisir human error",te_2,97
621,"Transaksi lebih mudah
 Mempercepat penyebaran iklan
 Promosi yg beragam",te_2,83
622,"efisiensi waktu, efisiensi biaya, dan efisiensi sumber daya",te_2,90
623,"Keuntungan yang diperoleh dari penerapan teknologi dalam kegiatan bisnis:
 * Ketika kita dapat melihat tren pasar, atau tren-jual beli produk, sebagai pemilik bisnis dapat menentukan strategi untuk pengembangan bisnis
 * Berdasarkan data, misal data penjualan ecommerce, dengan teknologi dapat menentukan berbagai prediksi seperti prediksi harga
 * Dengan adanya teknologi, kegiatan pemasaran dapat dilakukan lebih efektif dan efisien, mengingat penggunaan teknologi banyak pada kehidupan sehari-hari",te_2,97
624,"Teknologi dapat membantu bisnis untuk melakukan berbagai tugas secara lebih efisien dan efektif,
 TEKNOLOGI DAPAT MENINGKATKAN KEPUASAN PELANGGAN
 TEKNOLOGI DAPAT MENINGKATKAN PRODUKTIVITAS KARYAWAN",te_2,85
625,"mempermudah promosi
 memperluas jangkauan customer
 mempermudah analisis pasar
 memperluas reputasi jasa yang kita tawarkan
 mempermudah penargetan penjualan agar tepat sesuai marketnya",te_2,97
626,"-promosi jadi beragam
 -transaksi mudah
 -layanan menjadi cepat
 -menganalisis pasar lebih cepat",te_2,93
627,"otomatisasi sistem
 transaksi digital
 media promosi
 pelayanan cepat
 analisis digital untuk kebutuhan analisis pasar",te_2,95
628,"perhitungan cepat,
 minim kesalahan, 
 minim biaya",te_2,93
629,"* memberikan layanan yang lebih cepata kepada konsumen
 * mempermudah dalam proses transaksi
 * membantu membangun reputasi bisnis",te_2,93
630,"1. Perencanaan dan analisis data yang lebih baik dan akurat
 2. peningkatan efisiensi dan efektifitaas terhadap operasional dan produk
 3. kemudahan proses bisnis yang dilakukan dengan automatisasi dan mengurangi human error",te_2,97
631,"* Memantau perkembangan bisnis menjadi lebih mudah.
 * Memberikan layanan yang cepat kepada pelanggan.
 * Membantu promosi dengan lebih cepat dan mudah.",te_2,97
632,"Adapun keuntungan yang bisa diperoleh dari penerapan teknologi dalam kegiatan bisnis, yaitu sebagai berikut.
 * Peningkatan efisiensi operasional yang dapat menghemat waktu dan biaya operasional.
 * Peningkatan produktivitas dengan memberikan alat yang baik untuk bekerja
 * Akses ke informasi dan analisis dengan lebih cepat dan akurata",te_2,97
633,"* Efesiensi Operasional
 * Pengingkatan Kualitas Produk dan Kualitas Layanan
 * Peningkatan Produktivitas",te_2,97
634,"Efisiensi Operasional,
 Peningkatan Produktivitas,
 Perluasan Pasar,
 Analisis Data yang Lebih Baik,
 Peningkatan Layanan Pelanggan,
 Pengembangan Produk dan Inovasi,
 Keamanan Informasi,",te_2,97
635,"1. Dapat mengurangi pengeluaran untuk kebutuhan Marketing, karena saat ini marketing dapat dilakukan dalam bentuk video gambar maupun tulisan dan disebarkan menggunakan sosial media.
 2. Proses perhitungan keuntungan dan kerugian dapat dilihat dan dianalisis dengan mudah.
 3. Saat ini berkat AI yang semakin berkembang, dapat melihat trend apa yang kira2 sedang naik dan trend apa yang akan muncul kedepannya nanti.",te_2,95
636,"- mudahnya mengelola bisnis dengan adanya sistem komputasi / informasi
 - mudah dalam promosi dan periklanan dalam bisnis
 - mudahnya merekap data data bisnis jika menggunakan cloud",te_2,83
637,"1. Cepat
 2. Mudah
 3. Hemat",te_2,78
638,"Hardware adalah perangkat keras komputer yang mempunyai fisik (dapat disentuh dan dirasakan). Contoh : Mouse, Keyboard, CPU, RAM, Monitor",te_3,98
639,"Adalah bagian dari sistem komputer yang berbentuk fisik contohnya : 
 Mainboard
 CPU
 RAM
 Keyboard
 Monitor",te_3,98
640,"perangkat komputer yang yang memiliki wujud fisik.
 
 1. motherboard
 2. CPU
 3. soundcard
 4.grafickcard
 5. RAM",te_3,98
641,"hardware adalah perangkat keras dalam komputer
 
 1. cpu, atau processor
 2. ram
 3. storage seperti hard disk, ssd, dll
 4. motherboard, atai mainboard
 5. vga atau GPU",te_3,87
642,"Hardware adalah perangkat keras berbentuk fisik, contoh:mouse, komputer, keyboard, harddisk, ram",te_3,82
643,"hardware merupakan sebuah komponen komputer yang memiliki bentuk fisik yang dapat di pegang maupun di lihat yang dapat menerima, mengolah, dan menghasilkan data 
 
 contoh hardware;
 PERANGKAT INPUT: KEYBOARD
 PERANGKAT PEMROSESAN : CPU
 PERANGKAT OUTPUT : monitor, printer
 PERANGKAT PENYIMPANAN: SSD
 PERANGKAT PERIFERAL adalah perangkat tambahan yang dapat digunakan untuk menghubungkan komputer dengan perangkat lain: webcam",te_3,98
644,"hardware atau perangkat keras yang merujuk pada komponen komputer yang bisa diliat ataupun dipegang
 
 - VGA
 - Harddisk
 - Motherboard
 - CPU
 - RAM",te_3,98
645,"hardware adalah perangkat keras 
 
 contohnya adalah :
 RAM
 VGA / graphic card
 processor / CPU
 Hard disk
 SSD (solid state drive)
 mouse
 printer
 keyboard
 motherboard",te_3,80
646,"hardware adalah komponen dari komputer yang dapat dilihat secara fisik
 
 cpu, monitor, keyboard, mouse, speker, printer",te_3,95
647,"Hardware adalah SEMUA JENIS KOMPONEN PADA KOMPUTER YANG MEMILIKI BENTUK FISIK, BISA DI LIHAT, DAN DIRASAKAN. 
 
 contoh:
 CPU/Processor
 Monitor
 Keyboard
 Mouse
 Printer
 Speaker
 Laptop
 RAM/Memory",te_3,98
648,"hardware adalah suatu perangkat komputer yang berbentuk fisik yang dapat dilihat dan disentuh.
 
 contoh hardware :
 
 * printer
 * keyboard
 * monitor
 * mouse
 * motherboard",te_3,98
649,"hardware merupakan perangkat keras, merupakan perangkat elektronik yang dapat disentuh dan dilihat, juga sebagai perangkat yang menjalankan fungsi komputer
 -CPU
 -Motherboard
 -Monitor
 -Mouse
 -Printer",te_3,98
650,"Hardware adalah komponen fisik atau perangkat keras dari sebuah sistem komputer atau perangkat elektronik. Ini adalah bagian-bagian fisik yang dapat dilihat dan disentuh dalam sebuah perangkat, yang melakukan pemrosesan, penyimpanan, dan eksekusi tugas-tugas yang diberikan oleh pengguna atau perangkat lunak. Berikut adalah beberapa contoh hardware:
 
 * CPU
 * Motherboard
 * RAM
 * Router
 * Monitor",te_3,98
651,"Hardware merupakan perangkat yang terdapat pada komputer yang kita bisa lihat dengan mata serta disentuh dalam perangkat tersebut. beberapa contoh hardware adalah :
 
 * CPU (Central Processing Unit)
 * RAM ( Random Access Memory)
 * HDD ( Hard Disk Drive)
 * SSD ( Solid State Drive)
 * GPU ( Graphical Processing Unit)",te_3,98
652,"Hardware adalah komponen fisik dari sebuah sistem komputer yang dapat dilihat dan disentuh. Ini termasuk semua perangkat keras yang digunakan untuk menjalankan perangkat lunak (software) dan melakukan berbagai tugas dalam komputasi. Berikut adalah contoh-contoh hardware dalam komputer:
 Central Processing Unit (CPU),
 Memory (RAM),
 Hard Drive (HDD/SSD),
 Motherboard,
 Kartu Grafis (GPU),
 Monitor,
 Keyboard dan Mouse,
 Printer,
 Speaker dan Headset.",te_3,98
653,"Hardware adalah perangkat keras komputer atau device yang bisa dilihat dan dipegang secara fisik.
 
 contohnya seperti keyboard mouse monitor processor motherboard dan sebagainya",te_3,97
654,"Hardware merupakan suatu perangkat berbentuk fisik yang memiliki fungsinya masing-masing sebagai komponen dari komputer.
 
 Contohnya:
 - Mouse
 - keyboard
 - cpu
 - monitor
 - usb port",te_3,97
655,"hardware merupakan perangkat keras, contohnya monitor, keyboard dan benda lainnya yang dapat disentuh",te_3,72
656,Hardware adalah perangkat komputer yang memiliki komponen fisik yang dapat dilihat dan dirasakan.,te_3,47
657,"data adalah kumpulan fakta.
 informasi adalah data yang telah diolah.
 pengetahuan adalah pemahaman terkait informasi.",te_4,83
658,"data merupakan sebuah fakta yang masih mentah yang belum memiliki arti atau makna
 informasi data yang telah diolah dan memiliki makna
 pengetahuan merupakan infromasi yang telah di proses oleh pikiran yang dapat digunakan dalam melakukan pengambilakn keputusan atau pemecahan masalah",te_4,85
659,"Data adalah konten yang dapat diamati secara langsung atau dapat diverifikasi (fakta). 
 Informasi adalah konten yang mewakili data yang dianalisis. 
 Pengetahuan adalah segala wawasan, pemahaman, dan pengetahuan praktis yang kita semua miliki.
 
 Perbedaan dari data, informasi dan pengetahuan adalah data berada di dunia yang nyata memahami bahwa data ada, sementara informasi adalah kumpulan dari data yang dikirim atau diterima oleh individu atau organisasi, sedangkan pengetahuan berada di dalam diri individu tersebut melalui proses diterima, disadari dan dipahami hasil dari informasi tersebut.",te_4,90
660,"Data:
 * Data adalah kumpulan fakta mentah, angka, simbol, atau karakter yang tidak memiliki arti atau konteks tertentu.
 * Data belum memiliki nilai atau signifikansi tanpa proses pengolahan lebih lanjut.
 
 Informasi:
 * Informasi adalah data yang telah diolah atau diinterpretasi sehingga memiliki arti atau konteks yang jelas dan bermanfaat.
 * Informasi memberikan pemahaman tentang suatu situasi atau masalah tertentu.
 
 Pengetahuan:
 * Pengetahuan adalah pemahaman yang lebih mendalam atau konteks yang lebih luas yang dibangun di atas informasi.
 * Ini melibatkan interpretasi, analisis, pengalaman, dan pemahaman yang mendalam tentang suatu subjek atau domain.
 * Pengetahuan memungkinkan individu atau organisasi untuk membuat keputusan yang cerdas, memecahkan masalah, dan beroperasi dengan efisien.",te_4,93
661,"Data adalah bahan-bahan yang diperlukan untuk menghasilkan informasi, dan informasi adalah langkah pertama untuk membangun pengetahuan dan Pengetahuan adalah pemahaman yang lebih dalam terhadap Data dan Informasi yang kemudian dapat diterapkan atas informasi tersebut.",te_4,90
662,"Data: Data adalah kumpulan fakta mentah, angka, simbol, atau unsur-unsur lain yang belum memiliki konteks atau makna tertentu. Data belum diorganisir atau diolah sehingga tidak memberikan pemahaman yang signifikan. Contoh data adalah serangkaian angka, huruf, atau karakter yang mungkin tidak memiliki arti apapun tanpa konteks, seperti ""12345"" atau ""ABCDE.""
 
 Informasi: Informasi adalah data yang telah diolah, dianalisis, atau diinterpretasikan sehingga memiliki makna atau konteks yang bermanfaat. Informasi memberikan pemahaman tentang suatu situasi atau fenomena. Contoh informasi adalah hasil dari pengolahan data, seperti ""Rata-rata usia responden adalah 35 tahun,"" yang memberikan makna tentang usia responden dalam suatu penelitian.
 
 Pengetahuan: Pengetahuan adalah pemahaman yang lebih mendalam dan kontekstual yang didapatkan dari informasi. Ini melibatkan kemampuan untuk mengaitkan informasi dengan pengalaman, konsep, atau kerangka pemikiran yang lebih luas. Pengetahuan membantu individu atau organisasi membuat keputusan yang lebih baik dan mengambil tindakan yang tepat. Contoh pengetahuan adalah pemahaman tentang cara menjalankan bisnis yang sukses berdasarkan pengalaman dan analisis data yang melibatkan pasar, pelanggan, dan kompetitor.",te_4,97
663,"1. Data merupakan bahan mentah dari informasi.
 2. Informasi adalah hasil pengolahan data yang sudah dapat diterima oleh akal pikiran penerima informasi yang nantinya dapat digunakan untuk pengambilan keputusan.
 3. Pengetahuan adalah Pengetahuan terdiri dari informasi yang sudah diorganisasikan dan diproses untuk memperoleh pemahaman, pengalaman, pembelajaran yang terakumulasi, sehingga dapat diaplikasikan dalam masalah atau proses bisnis tertentu.",te_4,83
664,"1. Di Donasikan
 2. Di jual kembali
 3. Di perbaiki atau recycle",te_5,83
665,"menjual atau menyumbangkan barang elektronik yang sudah tidak terpakai.
 mendaur ulang sampah elektronik untuk mendapatkan bahan bahan yang masih dapat digunakan.
 kembaliMelakukan pengolahan sampah elektronik yang aman untuk mencegah terjadinya polusi udara dan air.",te_5,83
666,"- lakukan maintenance perangkat secara berkala agar tetap awet
 - simpan data secara online melalui cloud storage
 - lakukan perbaikan semampu mungkin apabila masih dapat diperbaiki hingga berfungsi setidaknya bare minimum
 - jual barang elektronik lama yang sudah tidak digunakan
 - beli perangkat yang hemat energi",te_5,87
667,"Mendaur ulang dan membuang limbah elektronik dengan benar
 Jual perangkat elektronik lama
 Menjaga Keawetan Barang Elektronik",te_5,80
668,"Jual Perangkat Elektronik lama
 Donasikan Perangkat Elektronik yang yidak terpakai
 Daur ulang atau membuang sampah elektronik dengan benar",te_5,85
669,"- memperbaiki perangkat sebelum membeli perangkat baru
 - melakukan recycle terhadap perangkat yang tidak lagi digunakan
 - menjual atau mendonasikan perangkat yang tidak lagi digunakan",te_5,83
670,"Berikut cara mengatasi sampah elektronik (e-waste):
 
 * Recycle
 * Donasi atau perdagangan kembali
 * Perawatan yang baik
 * Upaya perbaikan
 * Program pengembalian produsen",te_5,92
671,"* Pendauran Ulang
 * Pengumpulan E-Waste
 * Donasi / Pengumpulan Kembali
 * Pemuktahiran dan Perbaikan",te_5,88
672,"Recycling (Pengolahan Kembali),
 Donasi dan Pembaruan (Upcycling),
 Perawatan dan Pembelian yang Bijak.
 Tekonologi Ramah Lingkungan.",te_5,90
673,"melebur nya
 mendaur ulang
 jadikan kerajinan tangan",te_5,83
674,"1. Melakukan perbaikan
 2. Part yang sudah tidak bisa dipakai bisa dilakukan peleburan untuk mengambil komponen2 seperti emas yang berada di motherboard.
 3. Plastik plastik yang ada di komponen tersebut bisa di lelehkan untuk dibuat produk lainnya",te_5,85
675,"daur ulang
 perawatan yang baik agar lebih tahan lama
 memiliki barang elektronik secukupnya",te_5,73
